date,close,volume,open,high,low
21-06-2018,185.46,25649240,187.25,188.35,184.94
20-06-2018,186.5,20490090,186.35,187.2,185.73
19-06-2018,185.69,33538550,185.14,186.33,183.45
18-06-2018,188.74,18458410,187.88,189.22,187.2
15-06-2018,188.84,61438290,190.03,190.16,188.26
14-06-2018,190.8,21584720,191.55,191.57,190.22
13-06-2018,190.7,21480120,192.42,192.88,190.44
12-06-2018,192.28,16859020,191.385,192.611,191.15
11-06-2018,191.23,18069930,191.35,191.97,190.21
08-06-2018,191.7,26580710,191.17,192,189.77
07-06-2018,193.46,21329170,194.14,194.2,192.335
06-06-2018,193.98,20912820,193.63,194.08,191.92
05-06-2018,193.31,21535570,193.065,193.94,192.36
04-06-2018,191.83,26190620,191.635,193.42,191.35
01-06-2018,190.24,23377690,187.991,190.26,187.75
31-05-2018,186.87,27468700,187.22,188.23,186.14
30-05-2018,187.5,18503410,187.72,188,186.78
29-05-2018,187.9,22409110,187.6,188.75,186.87
25-05-2018,188.58,17186760,188.23,189.65,187.65
24-05-2018,188.15,23129400,188.77,188.84,186.21
23-05-2018,188.36,19966590,186.35,188.5,185.76
22-05-2018,187.16,15228270,188.375,188.88,186.78
21-05-2018,187.63,18383080,188,189.27,186.9106
18-05-2018,186.31,18083080,187.19,187.8102,186.13
17-05-2018,186.99,17014490,188,188.91,186.36
16-05-2018,188.18,19046600,186.07,188.46,186
15-05-2018,186.44,23639070,186.78,187.07,185.1
14-05-2018,188.15,20393070,189.01,189.53,187.86
11-05-2018,188.59,26167950,189.49,190.06,187.45
10-05-2018,190.04,27942430,187.74,190.37,187.65
09-05-2018,187.36,23141260,186.55,187.4,185.22
08-05-2018,186.05,28053230,184.99,186.22,183.665
07-05-2018,185.16,42557530,185.18,187.67,184.75
04-05-2018,183.83,56137230,178.25,184.25,178.17
03-05-2018,176.89,33944110,175.88,177.5,174.4411
02-05-2018,176.57,66454720,175.225,177.75,173.8
01-05-2018,169.1,52228910,166.41,169.2,165.27
30-04-2018,165.26,41976500,162.13,167.26,161.84
27-04-2018,162.32,35617230,164,164.33,160.63
26-04-2018,164.22,27850370,164.12,165.73,163.37
25-04-2018,163.65,28331540,162.62,165.42,162.41
24-04-2018,162.94,33674960,165.67,166.33,161.2201
23-04-2018,165.24,36396590,166.835,166.92,164.09
20-04-2018,165.72,65270950,170.595,171.2184,165.43
19-04-2018,172.8,34693280,174.95,175.39,172.66
18-04-2018,177.84,20544600,177.81,178.82,176.88
17-04-2018,178.24,26575010,176.49,178.9365,176.41
16-04-2018,175.82,21561320,175.0301,176.19,174.8301
13-04-2018,174.73,25100510,174.78,175.84,173.85
12-04-2018,174.14,22858840,173.41,175,173.04
11-04-2018,172.44,22401040,172.23,173.9232,171.7
10-04-2018,173.25,28567110,173,174,171.53
09-04-2018,170.05,28976200,169.88,173.09,169.845
06-04-2018,168.38,34949690,170.97,172.48,168.2
05-04-2018,172.8,26750260,172.58,174.2304,172.08
04-04-2018,171.61,34581850,164.88,172.01,164.77
03-04-2018,168.39,30237640,167.64,168.7455,164.88
02-04-2018,166.68,37425640,167.88,168.94,164.47
29-03-2018,167.78,38116290,167.805,171.75,166.9
28-03-2018,166.48,41464880,167.25,170.02,165.19
27-03-2018,168.34,39824200,173.68,175.15,166.92
26-03-2018,172.77,36778560,168.07,173.1,166.44
23-03-2018,164.94,40984540,168.39,169.92,164.94
22-03-2018,168.85,41335980,170,172.68,168.6
21-03-2018,171.27,36387880,175.04,175.09,171.26
20-03-2018,175.24,19620520,175.24,176.8,174.94
19-03-2018,175.3,32931110,177.32,177.47,173.66
16-03-2018,178.02,38313330,178.65,179.12,177.62
15-03-2018,178.65,22676520,178.5,180.24,178.0701
14-03-2018,178.44,29334630,180.32,180.52,177.81
13-03-2018,179.97,31464170,182.59,183.5,179.24
12-03-2018,181.72,32191070,180.29,182.39,180.21
09-03-2018,179.98,32130360,177.96,180,177.39
08-03-2018,176.94,24518850,175.48,177.12,175.07
07-03-2018,175.03,31686450,174.94,175.85,174.27
06-03-2018,176.67,23273160,177.91,178.25,176.13
05-03-2018,176.82,27825140,175.21,177.74,174.52
02-03-2018,176.21,38426060,172.8,176.3,172.45
01-03-2018,175,48706170,178.54,179.775,172.66
28-02-2018,178.12,37568080,179.26,180.615,178.05
27-02-2018,178.39,38885510,179.1,180.48,178.16
26-02-2018,178.97,37353670,176.35,179.39,176.21
23-02-2018,175.5,33772050,173.67,175.65,173.54
22-02-2018,172.5,30953760,171.8,173.95,171.71
21-02-2018,171.07,37378070,172.83,174.12,171.01
20-02-2018,171.85,33690660,172.05,174.26,171.42
16-02-2018,172.43,40113790,172.36,174.82,171.77
15-02-2018,172.99,50908540,169.79,173.09,169
14-02-2018,167.37,40382890,163.045,167.54,162.88
13-02-2018,164.34,32483310,161.95,164.75,161.65
12-02-2018,162.71,60774900,158.5,163.89,157.51
09-02-2018,156.41,70583530,157.07,157.89,150.24
08-02-2018,155.15,54145930,160.29,161,155.03
07-02-2018,159.54,51467440,163.085,163.4,159.0685
